city,N,d,unsat,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
Visano,2,1,False,0.020939,0.008281,1.0,390.0,150.0,1141.0,8.0,3.0,0.0,5.0
Visano,2,1,False,0.025873,0.009064,1.0,437.0,264.0,1794.0,10.0,4.0,0.0,6.0
Visano,2,1,False,0.02053,0.007324,1.0,390.0,151.0,1138.0,8.0,3.0,0.0,5.0
Visano,2,2,False,0.047029,0.01826,1.0,869.0,522.0,3867.0,19.0,6.0,0.0,14.0
Visano,2,2,False,0.03764,0.011643,1.0,775.0,375.0,1434.0,15.0,3.0,0.0,12.0
Visano,2,2,False,0.052629,0.019376,1.0,869.0,524.0,3882.0,19.0,6.0,0.0,14.0
Visano,2,3,False,0.038231,0.017666,2.0,1031.0,690.0,6848.0,50.0,15.0,0.0,21.0
Visano,2,3,False,0.038288,0.020829,1.0,1025.0,570.0,5568.0,28.0,9.0,0.0,19.0
Visano,2,3,False,0.043218,0.011743,1.0,1019.0,393.0,1649.0,21.0,4.0,0.0,16.0
Visano,2,4,False,0.089942,0.032178,1.0,1545.0,817.0,5068.0,29.0,7.0,0.0,25.0
Visano,2,4,False,0.073357,0.023606,1.0,1545.0,749.0,4051.0,29.0,7.0,0.0,24.0
Visano,2,4,False,0.076852,0.024021,1.0,1545.0,745.0,4052.0,29.0,7.0,0.0,24.0
Visano,3,1,False,0.037483,0.014453,1.0,577.0,1.0,941.0,4.0,1.0,0.0,3.0
Visano,3,1,True,0.026726,0.008261,0.0,508.0,0.0,744.0,0.0,1.0,0.0,0.0
Visano,3,1,False,0.038955,0.012577,1.0,579.0,143.0,1642.0,10.0,4.0,0.0,6.0
Visano,3,2,False,0.047866,0.018116,3.0,1005.0,429.0,3555.0,29.0,9.0,0.0,12.0
Visano,3,2,False,0.087927,0.030795,1.0,1293.0,537.0,3259.0,19.0,8.0,0.0,10.0
Visano,3,2,False,0.071262,0.024106,1.0,1147.0,422.0,2495.0,17.0,7.0,0.0,10.0
Visano,3,3,False,0.132493,0.054505,1.0,1942.0,1033.0,8470.0,33.0,10.0,0.0,18.0
Visano,3,3,False,0.136342,0.048551,1.0,1936.0,799.0,4741.0,25.0,8.0,0.0,16.0
Visano,3,3,False,0.099392,0.035974,1.0,1717.0,629.0,3105.0,21.0,4.0,0.0,16.0
Visano,3,4,False,0.133651,0.052991,1.0,2295.0,1000.0,8119.0,35.0,10.0,0.0,24.0
Visano,3,4,False,0.171029,0.076966,1.0,2587.0,1375.0,12889.0,38.0,10.0,0.0,26.0
Visano,3,4,False,0.131391,0.053274,1.0,2295.0,1000.0,10810.0,40.0,13.0,0.0,26.0
Visano,4,1,False,0.066745,0.029194,1.0,869.0,476.0,4221.0,17.0,7.0,0.0,9.0
Visano,4,1,False,0.066749,0.02838,1.0,867.0,314.0,3173.0,10.0,4.0,0.0,6.0
Visano,4,1,True,0.084737,0.030817,0.0,964.0,0.0,1477.0,0.0,1.0,0.0,0.0
Visano,4,2,False,0.131066,0.066714,2.0,1733.0,1016.0,15711.0,53.0,22.0,0.0,17.0
Visano,4,2,False,0.164038,0.067966,3.0,1923.0,896.0,13355.0,43.0,15.0,0.0,15.0
Visano,4,2,False,0.103592,0.048679,3.0,1531.0,747.0,14352.0,63.0,24.0,0.0,16.0
Visano,4,3,False,0.19649,0.076371,1.0,2577.0,991.0,8691.0,32.0,11.0,0.0,19.0
Visano,4,3,False,0.20382,0.085159,2.0,2583.0,1174.0,15769.0,57.0,19.0,0.0,20.0
Visano,4,3,False,0.193961,0.074856,1.0,2571.0,871.0,5838.0,23.0,7.0,0.0,16.0
Visano,4,4,False,0.256994,0.096043,2.0,3433.0,1314.0,13324.0,62.0,16.0,0.0,25.0
