city,N,d,unsat,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
Visano,2,1,False,0.020661,0.005663,1.0,390.0,151.0,686.0,6.0,1.0,0.0,5.0
Visano,2,1,False,0.020783,0.005703,1.0,390.0,115.0,1001.0,8.0,3.0,0.0,5.0
Visano,2,1,False,0.015293,0.004264,1.0,343.0,1.0,475.0,5.0,1.0,0.0,4.0
Visano,2,2,False,0.04709,0.019205,1.0,869.0,524.0,3883.0,19.0,6.0,0.0,14.0
Visano,2,2,False,0.031635,0.00852,1.0,681.0,264.0,1117.0,15.0,4.0,0.0,10.0
Visano,2,2,False,0.034324,0.010918,1.0,685.0,342.0,2614.0,17.0,6.0,0.0,12.0
Visano,2,3,False,0.044235,0.012429,1.0,1019.0,396.0,1647.0,21.0,4.0,0.0,16.0
Visano,2,3,False,0.038166,0.013983,1.0,1019.0,396.0,1650.0,21.0,4.0,0.0,16.0
Visano,2,3,False,0.071861,0.036996,1.0,1301.0,781.0,5486.0,25.0,7.0,0.0,20.0
Visano,3,1,False,0.027606,0.01017,1.0,508.0,183.0,1764.0,10.0,4.0,0.0,6.0
Visano,3,1,False,0.037187,0.017961,1.0,579.0,232.0,1945.0,10.0,4.0,0.0,6.0
Visano,3,1,False,0.015597,0.012731,1.0,435.0,67.0,940.0,9.0,3.0,0.0,7.0
Visano,3,2,False,0.07344,0.0294,3.0,1151.0,504.0,6439.0,32.0,9.0,0.0,14.0
Visano,3,2,False,0.06826,0.034354,1.0,1159.0,738.0,7964.0,28.0,11.0,0.0,16.0
Visano,3,2,False,0.111381,0.038782,1.0,1297.0,653.0,4950.0,21.0,8.0,0.0,13.0
Visano,3,3,False,0.099102,0.034924,1.0,1717.0,632.0,3115.0,21.0,4.0,0.0,16.0
Visano,3,3,False,0.100047,0.040557,2.0,1723.0,806.0,6506.0,33.0,10.0,0.0,20.0
Visano,3,3,False,0.104126,0.047596,1.0,1729.0,1034.0,10766.0,39.0,15.0,0.0,18.0
Visano,4,1,False,0.067147,0.026338,1.0,869.0,397.0,4024.0,13.0,5.0,0.0,7.0
Visano,4,1,False,0.039339,0.019631,2.0,673.0,326.0,3453.0,13.0,4.0,0.0,8.0
Visano,4,1,False,0.095147,0.035481,1.0,968.0,567.0,4662.0,15.0,7.0,0.0,8.0
Visano,4,2,False,0.122998,0.05518,1.0,1535.0,941.0,13647.0,39.0,17.0,0.0,16.0
Visano,4,2,False,0.128698,0.060798,2.0,1729.0,936.0,11599.0,33.0,13.0,0.0,17.0
Visano,4,2,False,0.169972,0.0614,1.0,1919.0,819.0,6075.0,22.0,9.0,0.0,11.0
Visano,4,3,False,0.145825,0.059193,2.0,2280.0,815.0,9862.0,50.0,15.0,0.0,19.0
Visano,4,3,False,0.207559,0.093432,2.0,2589.0,1348.0,23503.0,88.0,34.0,0.0,23.0
Visano,4,3,False,0.214315,0.09305,1.0,2577.0,1156.0,9169.0,27.0,9.0,0.0,19.0
Visano,5,1,False,0.066707,0.027442,1.0,959.0,337.0,3999.0,15.0,7.0,0.0,7.0
Visano,5,1,False,0.094397,0.041622,1.0,1082.0,422.0,4556.0,15.0,7.0,0.0,7.0
Visano,5,1,False,0.086658,0.041573,1.0,1086.0,580.0,8145.0,23.0,11.0,0.0,9.0
Visano,5,2,False,0.211306,0.093687,1.0,2407.0,1220.0,19474.0,52.0,24.0,0.0,16.0
Visano,5,2,False,0.131174,0.060368,3.0,1903.0,796.0,13508.0,54.0,21.0,0.0,16.0
Visano,5,2,False,0.129333,0.054738,2.0,1899.0,756.0,7439.0,25.0,10.0,0.0,9.0
Visano,5,3,False,0.319869,0.120576,1.0,3581.0,1119.0,8438.0,24.0,8.0,0.0,16.0
Visano,5,3,False,0.227494,0.171994,2.0,2855.0,1532.0,47185.0,146.0,67.0,0.0,24.0
Visano,5,3,False,0.330638,0.121655,1.0,3593.0,1476.0,13437.0,40.0,16.0,0.0,19.0
Visano,6,1,False,0.143162,0.053477,2.0,1446.0,316.0,4840.0,13.0,5.0,0.0,6.0
Visano,6,1,False,0.132833,0.060989,1.0,1448.0,624.0,7496.0,27.0,12.0,0.0,9.0
Visano,6,1,False,0.132115,0.055339,2.0,1448.0,532.0,7274.0,16.0,6.0,0.0,7.0
Visano,6,2,False,0.281747,0.119739,2.0,2879.0,1079.0,16655.0,47.0,20.0,0.0,16.0
Visano,6,2,False,0.218682,0.098148,2.0,2577.0,1000.0,16497.0,52.0,21.0,0.0,15.0
Visano,6,2,False,0.312219,0.133852,2.0,3175.0,1462.0,18005.0,83.0,36.0,0.0,17.0
Visano,6,3,False,0.491508,0.279794,1.0,4753.0,1952.0,17280.0,32.0,12.0,0.0,20.0
Visano,6,3,False,0.491517,0.251325,3.0,4318.0,2016.0,44690.0,134.0,52.0,0.0,24.0
Visano,6,3,False,0.40265,0.184969,1.0,3859.0,1774.0,21516.0,56.0,23.0,0.0,23.0
Visano,7,1,True,0.168457,0.065801,0.0,1691.0,0.0,3167.0,0.0,1.0,0.0,0.0
Visano,7,1,True,0.178396,4.8e-05,0.0,1689.0,0.0,0.0,0.0,1.0,0.0,0.0
Visano,7,1,False,0.195629,0.076042,1.0,1689.0,331.0,5439.0,13.0,6.0,0.0,5.0
Visano,7,2,False,0.341504,0.145145,4.0,3363.0,1400.0,30206.0,76.0,33.0,0.0,18.0
Visano,7,2,False,0.383826,0.177712,2.0,3706.0,1441.0,23269.0,47.0,21.0,0.0,14.0
Visano,7,2,False,0.402583,0.17,1.0,3710.0,1525.0,22984.0,61.0,29.0,0.0,16.0
