city,time,time_type,unsat,N,d
Visano,0.53649,solve,False,10,2
Visano,0.71555,init,False,10,2
Visano,0.64801,solve,False,10,2
Visano,0.514415,init,False,10,2
Visano,0.313464,solve,False,10,2
Visano,0.504891,init,False,10,2
Visano,0.390543,solve,False,10,2
Visano,0.503419,init,False,10,2
Visano,0.921119,solve,False,10,2
Visano,0.531683,init,False,10,2
Visano,34.5625,solve,False,10,2
Visano,0.504658,init,False,10,2
Visano,0.544606,solve,False,10,2
Visano,0.511811,init,False,10,2
Visano,0.386577,solve,False,10,2
Visano,0.625381,init,False,10,2
Visano,0.814272,solve,False,10,2
Visano,0.524116,init,False,10,2
Visano,0.553937,solve,False,10,2
Visano,0.572476,init,False,10,2
Asola,1.6648,solve,False,10,2
Asola,1.56994,init,False,10,2
Asola,0.844709,solve,False,10,2
Asola,1.41524,init,False,10,2
Asola,1.53249,solve,False,10,2
Asola,1.88677,init,False,10,2
Asola,0.998468,solve,False,10,2
Asola,2.26671,init,False,10,2
Asola,1.17705,solve,False,10,2
Asola,1.65799,init,False,10,2
Asola,1.35297,solve,False,10,2
Asola,1.3396,init,False,10,2
Asola,1.14522,solve,False,10,2
Asola,1.59022,init,False,10,2
Asola,2.45378,solve,False,10,2
Asola,1.35183,init,False,10,2
Asola,1.2241,solve,False,10,2
Asola,1.57024,init,False,10,2
Asola,3.95219,solve,False,10,2
Asola,1.31513,init,False,10,2
Montichiari,8.36048,solve,False,10,2
Montichiari,8.98109,init,False,10,2
Montichiari,6.30893,solve,False,10,2
Montichiari,7.2457,init,False,10,2
Montichiari,13.0803,solve,False,10,2
Montichiari,6.08936,init,False,10,2
Montichiari,5.75906,solve,False,10,2
Montichiari,9.38641,init,False,10,2
Montichiari,7.5362,solve,False,10,2
Montichiari,7.08875,init,False,10,2
Montichiari,9.56954,solve,False,10,2
Montichiari,7.37269,init,False,10,2
Montichiari,10.6906,solve,False,10,2
Montichiari,9.52957,init,False,10,2
Montichiari,13.7631,solve,False,10,2
Montichiari,7.46867,init,False,10,2
Montichiari,5.66133,solve,False,10,2
Montichiari,8.54082,init,False,10,2
Montichiari,12.4829,solve,False,10,2
Montichiari,8.70889,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Brescia,300.0,solve,False,10,2
Brescia,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
Roma,300.0,solve,False,10,2
Roma,300.0,init,False,10,2
