,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
0,P,default,default,0.642124,143.81,5.0,4911.0,3667.0,55715121.0,222390.0,111180.0,0.0,88.0
1,P,anti_first_fail,indomain,0.787915,17.3448,2.0,4911.0,3667.0,4259181.0,16613.0,9088.0,0.0,75.0
2,P,anti_first_fail,indomain_max,0.795561,27.7348,7.0,4911.0,3667.0,6985594.0,25235.0,12600.0,0.0,58.0
3,P,anti_first_fail,indomain_median,0.914775,13.0522,2.0,4911.0,3667.0,3526902.0,12888.0,6440.0,0.0,76.0
4,P,anti_first_fail,indomain_min,0.792005,16.5851,2.0,4911.0,3667.0,4298015.0,15037.0,7512.0,0.0,75.0
5,P,anti_first_fail,indomain_random,0.832605,20.2603,5.0,4911.0,3667.0,4925968.0,18247.0,9119.0,0.0,77.0
6,P,anti_first_fail,indomain_reverse_split,0.881324,27.9769,6.0,4911.0,3667.0,6990891.0,25156.0,12563.0,0.0,58.0
7,P,anti_first_fail,indomain_split,0.915301,17.3407,2.0,4911.0,3667.0,4297359.0,15037.0,7512.0,0.0,75.0
8,P,anti_first_fail,indomain_split_random,0.839416,17.0776,2.0,4911.0,3667.0,4298015.0,15037.0,7512.0,0.0,75.0
9,P,dom_w_deg,indomain,0.820127,15.8307,3.0,4911.0,3667.0,3583663.0,15294.0,9105.0,0.0,74.0
10,P,dom_w_deg,indomain_max,0.804423,28.9746,7.0,4911.0,3667.0,7139309.0,28355.0,14168.0,0.0,60.0
11,P,dom_w_deg,indomain_median,0.78577,16.0829,4.0,4911.0,3667.0,4287958.0,20103.0,10048.0,0.0,103.0
12,P,dom_w_deg,indomain_min,0.810499,15.2299,3.0,4911.0,3667.0,3777337.0,13069.0,6532.0,0.0,73.0
13,P,dom_w_deg,indomain_random,0.778888,23.7133,3.0,4911.0,3667.0,5902913.0,27515.0,13755.0,0.0,67.0
14,P,dom_w_deg,indomain_reverse_split,0.873829,28.2377,7.0,4911.0,3667.0,7137294.0,28355.0,14168.0,0.0,60.0
15,P,dom_w_deg,indomain_split,0.790161,14.5959,3.0,4911.0,3667.0,3766596.0,13069.0,6532.0,0.0,73.0
16,P,dom_w_deg,indomain_split_random,0.796009,14.1903,3.0,4911.0,3667.0,3777337.0,13069.0,6532.0,0.0,73.0
17,P,first_fail,indomain,0.781021,13.6048,3.0,4911.0,3667.0,3624995.0,15968.0,10022.0,0.0,74.0
18,P,first_fail,indomain_max,0.857647,27.2889,8.0,4911.0,3667.0,7013873.0,26685.0,13330.0,0.0,55.0
19,P,first_fail,indomain_median,0.777533,13.9,3.0,4911.0,3667.0,4195964.0,21119.0,10557.0,0.0,95.0
20,P,first_fail,indomain_min,0.775996,14.2465,3.0,4911.0,3667.0,4000203.0,13699.0,6847.0,0.0,73.0
21,P,first_fail,indomain_random,0.774835,20.0685,4.0,4911.0,3667.0,5594965.0,23767.0,11880.0,0.0,72.0
22,P,first_fail,indomain_reverse_split,0.784777,27.2289,8.0,4911.0,3667.0,7011966.0,26671.0,13323.0,0.0,55.0
23,P,first_fail,indomain_split,0.776648,15.0536,3.0,4911.0,3667.0,3994785.0,13699.0,6847.0,0.0,73.0
24,P,first_fail,indomain_split_random,0.801124,14.5645,3.0,4911.0,3667.0,4000203.0,13699.0,6847.0,0.0,73.0
25,P,impact,indomain,0.789396,14.1242,2.0,4911.0,3667.0,3574309.0,14261.0,7743.0,0.0,74.0
