,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
0,P,dom_w_deg,indomain,,,,,,,,,,
1,P,dom_w_deg,indomain,,,,,,,,,,
2,P,dom_w_deg,indomain,,,,,,,,,,
3,P,dom_w_deg,indomain,,,,,,,,,,
4,P,dom_w_deg,indomain,,,,,,,,,,
5,P,dom_w_deg,indomain_max,,,,,,,,,,
6,P,dom_w_deg,indomain_max,,,,,,,,,,
7,P,dom_w_deg,indomain_max,,,,,,,,,,
8,P,dom_w_deg,indomain_max,,,,,,,,,,
9,P,dom_w_deg,indomain_max,,,,,,,,,,
10,P,dom_w_deg,indomain_min,,,,,,,,,,
11,P,dom_w_deg,indomain_min,,,,,,,,,,
12,P,dom_w_deg,indomain_min,,,,,,,,,,
13,P,dom_w_deg,indomain_min,,,,,,,,,,
14,P,dom_w_deg,indomain_min,,,,,,,,,,
15,P,dom_w_deg,indomain_random,,,,,,,,,,
16,P,dom_w_deg,indomain_random,,,,,,,,,,
17,P,dom_w_deg,indomain_random,,,,,,,,,,
18,P,dom_w_deg,indomain_random,,,,,,,,,,
19,P,dom_w_deg,indomain,,,,,,,,,,
20,P,dom_w_deg,indomain,,,,,,,,,,
21,P,dom_w_deg,indomain,,,,,,,,,,
22,P,dom_w_deg,indomain,,,,,,,,,,
23,P,dom_w_deg,indomain,,,,,,,,,,
24,P,dom_w_deg,indomain,,,,,,,,,,
25,P,dom_w_deg,indomain,,,,,,,,,,
26,P,dom_w_deg,indomain_max,0.797348,16.903,6.0,5925.0,2322.0,6050177.0,43595.0,21791.0,0.0,34.0
27,P,dom_w_deg,indomain_max,0.837502,17.3192,6.0,5925.0,2322.0,6050593.0,43595.0,21791.0,0.0,34.0
28,P,dom_w_deg,indomain_max,0.802958,16.8161,6.0,5925.0,2322.0,6049825.0,43595.0,21791.0,0.0,34.0
29,P,dom_w_deg,indomain_max,0.787726,16.676,6.0,5925.0,2322.0,6050593.0,43595.0,21791.0,0.0,34.0
30,P,dom_w_deg,indomain_max,0.794157,16.9349,6.0,5925.0,2322.0,6049825.0,43595.0,21791.0,0.0,34.0
31,P,dom_w_deg,indomain_min,0.787821,18.776,11.0,5925.0,2322.0,6509035.0,32320.0,16146.0,0.0,25.0
32,P,dom_w_deg,indomain_min,,,,,,,,,,
33,P,dom_w_deg,indomain_min,0.798852,18.739,11.0,5925.0,2322.0,6508687.0,32320.0,16146.0,0.0,25.0
34,P,dom_w_deg,indomain_min,0.791134,18.6037,11.0,5925.0,2322.0,6508687.0,32320.0,16146.0,0.0,25.0
