,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
0,P,default,default,0.66452,178.51,6.0,5925.0,2322.0,84805846.0,535599.0,267785.0,0.0,44.0
1,P,anti_first_fail,indomain,0.685657,7.95799,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
2,P,anti_first_fail,indomain_max,0.673988,5.29487,4.0,5925.0,2322.0,3966641.0,23917.0,11954.0,0.0,34.0
3,P,anti_first_fail,indomain_median,0.698428,5.06141,10.0,5925.0,2322.0,3471483.0,21267.0,10621.0,0.0,25.0
4,P,anti_first_fail,indomain_min,0.774093,8.05122,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
5,P,anti_first_fail,indomain_random,0.699089,165.024,7.0,5925.0,2322.0,60713329.0,855163.0,427572.0,0.0,55.0
6,P,anti_first_fail,indomain_reverse_split,0.689359,4.98247,4.0,5925.0,2322.0,3967402.0,23917.0,11954.0,0.0,34.0
7,P,anti_first_fail,indomain_split,0.666289,7.9168,10.0,5925.0,2322.0,4683739.0,70779.0,35378.0,0.0,26.0
8,P,anti_first_fail,indomain_split_random,0.665783,7.7727,10.0,5925.0,2322.0,4616259.0,68987.0,34482.0,0.0,26.0
9,P,dom_w_deg,indomain,0.701151,180.253,12.0,5925.0,2322.0,66800947.0,929332.0,465766.0,0.0,26.0
10,P,dom_w_deg,indomain_max,0.87316,15.2586,6.0,5925.0,2322.0,6050593.0,43595.0,21791.0,0.0,34.0
11,P,dom_w_deg,indomain_median,0.667747,180.247,12.0,5925.0,2322.0,65055340.0,914325.0,457146.0,0.0,62.0
12,P,dom_w_deg,indomain_min,0.809197,17.0601,11.0,5925.0,2322.0,6509035.0,32320.0,16146.0,0.0,25.0
13,P,dom_w_deg,indomain_random,0.754116,180.251,4.0,5925.0,2322.0,59838753.0,820155.0,410068.0,0.0,41.0
14,P,dom_w_deg,indomain_reverse_split,,,,,,,,,,
15,P,dom_w_deg,indomain_split,0.826121,21.0407,11.0,5925.0,2322.0,6538574.0,32340.0,16156.0,0.0,25.0
